byg026Opførelsesår,byg069Sikringsrumpladser,kommunekode,byg404Koordinat
1953,122,751,POINT (573594.88 6222276)
1989,36,751,POINT (571491.39 6222649.55)
1972,79,751,POINT (568440.06 6227586.79)
1953,20,751,POINT (573122.5 6221741)
1956,32,751,POINT (574702.45 6226171.99)
1972,146,751,POINT (570329.35 6224476.28)
1837,100,751,POINT (575349.84 6224554.07)
1972,111,751,POINT (576408.31 6233545.99)
1975,89,751,POINT (574422.44 6228347.5)
1970,40,751,POINT (571120.86 6224408.48)
1998,48,751,POINT (575103.77 6224843.11)
1972,338,751,POINT (570698.67 6224310.63)
1968,73,751,POINT (571763.28 6221234.7)
1986,30,751,POINT (571976.5 6219101.72)
1978,31,751,POINT (572028.2 6218487.48)
1968,160,751,POINT (571178.44 6223275)
1959,35,751,POINT (572084.3 6221102.61)
1961,13,751,POINT (571275.46 6223559.01)
1955,24,751,POINT (574992.98 6224518.34)
1969,22,751,POINT (572456.12 6223525.49)
1971,328,751,POINT (572994.63 6225366.93)
1957,100,751,POINT (571613.84 6223392.11)
1989,60,751,POINT (568799.39 6227655.83)
1988,41,751,POINT (569077.62 6218085.54)
1968,15,751,POINT (571118.33 6222891.3)
1990,247,751,POINT (576220.28 6229734.86)
1990,135,751,POINT (581761.25 6237788.26)
1972,79,751,POINT (568440.06 6227586.79)
1972,100,751,POINT (572476.06 6228533.28)
1956,960,751,POINT (574245.73 6226079.13)
1920,84,751,POINT (570529.13 6216721.42)
1988,145,751,POINT (574067.14 6228586.39)
1910,445,751,POINT (574982.08 6225781.24)
1969,27,751,POINT (568905.44 6224033.78)
2001,129,751,POINT (576080.91 6227356.73)
1961,250,751,POINT (574643.29 6222582.25)
1975,923,751,POINT (570994.52 6234726.1)
1964,55,751,POINT (571431.18 6220188.4)
1986,48,751,POINT (571913.92 6224654.97)
1963,75,751,POINT (571462.38 6222886.72)
1968,75,751,POINT (572801.62 6219617.23)
1962,25,751,POINT (572621.32 6221130)
1960,73,751,POINT (573386.83 6222403.99)
1987,64,751,POINT (569075.53 6226193.78)
1972,271,751,POINT (571778.2 6225238.51)
1966,47,751,POINT (571719.51 6218572.04)
1953,282,751,POINT (573438.78 6225840.11)
1975,67,751,POINT (575349.07 6212821)
1956,57,751,POINT (572272.11 6225234.7)
1969,127,751,POINT (575807.87 6217579.87)
1970,468,751,POINT (580447.18 6232205.15)
1971,69,751,POINT (569272.32 6225562.19)
1973,105,751,POINT (567786.66 6217786.56)
1970,146,751,POINT (574807.23 6226778.66)
1983,773,751,POINT (570927.3 6219689.16)
1989,278,751,POINT (574728.88 6213243.11)
1953,34,751,POINT (575023.31 6219494.07)
1968,65,751,POINT (576066.35 6232895.21)
1960,83,751,POINT (570154.01 6223856.84)
1992,79,751,POINT (572252.64 6226800.86)
1993,42,751,POINT (572319.58 6226709.67)
1960,72,751,POINT (574238.6 6226221.13)
1965,126,751,POINT (573358.93 6221254.32)
1978,43,751,POINT (571723.09 6222730.6)
1971,99,751,POINT (569218.09 6218381.32)
1994,126,751,POINT (568274.42 6227063.07)
1974,206,751,POINT (568562.97 6227554.68)
1972,79,751,POINT (568434.13 6227465.5)
1990,42,751,POINT (576557.94 6228512.5)
1958,37,751,POINT (574071.09 6226325.89)
1957,45,751,POINT (573505.69 6225681)
1967,900,751,POINT (574009.06 6227365.29)
1981,210,751,POINT (573882.8 6227595.82)
1955,60,751,POINT (572210.75 6221243.8)
1971,75,751,POINT (570854.63 6220180)
1990,63,751,POINT (574842.23 6229063.63)
1970,190,751,POINT (574935.72 6226530.23)
1955,72,751,POINT (572846.09 6220436.17)
1966,75,751,POINT (569544.46 6224909.9)
1987,81,751,POINT (562929.73 6230256.05)
1953,38,751,POINT (573197.87 6221842)
1969,30,751,POINT (576040.7 6229579.75)
1960,91,751,POINT (571948.97 6219002.84)
1955,60,751,POINT (572243.7 6221180.66)
1980,73,751,POINT (574699.13 6228853.98)
1992,106,751,POINT (575143.74 6227671.54)
1955,84,751,POINT (574611.69 6226375.5)
1972,146,751,POINT (570423.19 6224453.45)
1972,383,751,POINT (572155.95 6220959.82)
1960,83,751,POINT (570149.28 6224036.86)
1969,50,751,POINT (571889.36 6222772.23)
1983,174,751,POINT (574297.44 6228488.61)
1989,52,751,POINT (567046.79 6218927.13)
1972,79,751,POINT (568391.95 6227386.95)
1987,123,751,POINT (575301.8 6229280.93)
1979,44,751,POINT (571441.7 6222601.83)
1970,106,751,POINT (571237.09 6219525.47)
1958,55,751,POINT (573737.6 6222733.6)
1972,95,751,POINT (567875.36 6218005.56)
1958,140,751,POINT (573431.59 6223858)
1972,146,751,POINT (570423.93 6224453.78)
1970,180,751,POINT (572710.15 6226216.53)
1958,60,751,POINT (572426.97 6223653.11)
1952,25,751,POINT (574047.24 6225656.73)
1969,45,751,POINT (576557.19 6228734)
1965,69,751,POINT (569982.29 6223756.48)
1972,338,751,POINT (570693.12 6224157)
1987,29,751,POINT (575450.02 6230147.72)
1976,215,751,POINT (573866.27 6229311.44)
1991,110,751,POINT (573648.71 6227757.55)
1965,190,751,POINT (574273.11 6222910.36)
1977,110,751,POINT (570305.72 6219230.15)
1976,66,751,POINT (574790.44 6229012.01)
1964,23,751,POINT (571924.14 6218850.92)
1967,173,751,POINT (575986.11 6229753.55)
1973,301,751,POINT (571593.16 6225140.76)
1977,234,751,POINT (577805.29 6229516.81)
1969,77,751,POINT (573135.08 6225469.93)
1959,210,751,POINT (574580.62 6211157.03)
1998,120,751,POINT (580576.19 6232936.41)
1970,109,751,POINT (571449.09 6219496.16)
1986,7,751,POINT (575019.37 6224695)
1980,100,751,POINT (575288.51 6224611.15)
1967,365,751,POINT (577360.28 6232810.99)
1968,73,751,POINT (571763.28 6221234.7)
1969,77,751,POINT (573124.45 6225552.93)
1958,598,751,POINT (574443.26 6227191.56)
1956,45,751,POINT (573361.39 6222329.03)
1958,182,751,POINT (573451.76 6222523.39)
1972,79,751,POINT (568440.06 6227586.79)
1991,300,751,POINT (575000.85 6218600.02)
1998,29,751,POINT (568949.85 6219008.29)
1968,72,751,POINT (574951.68 6226457.28)
1939,30,751,POINT (575013.25 6219714.5)
1949,106,751,POINT (575046.92 6225764.03)
1971,72,751,POINT (572997.44 6225165.63)
1991,171,751,POINT (568646.72 6223914.99)
1993,63,751,POINT (575245.67 6227756.54)
1954,350,751,POINT (574402.02 6227363.87)
1999,250,751,POINT (573760.37 6227685.2)
1955,106,751,POINT (574396.5 6226064)
1888,50,751,POINT (575104.48 6225101.34)
1983,100,751,POINT (566875.44 6218834.08)
1991,44,751,POINT (568387 6225248.29)
2000,315,751,POINT (571438.86 6218060.53)
2000,221,751,POINT (574731.16 6226046.96)
1968,17,751,POINT (569810.27 6224929.33)
1972,338,751,POINT (570702.75 6224327.25)
1981,100,751,POINT (572320.77 6226440.52)
1990,192,751,POINT (569314.06 6221376)
1958,300,751,POINT (571742.99 6224431.86)
1977,460,751,POINT (568993.77 6226047.03)
2000,161,751,POINT (574784.28 6225926.72)
1966,100,751,POINT (567973.96 6218252.66)
1988,16,751,POINT (572091.79 6221026.7)
1961,280,751,POINT (574971.17 6224381.51)
1988,54,751,POINT (569100.65 6226201.97)
1972,79,751,POINT (568263.19 6227778.5)
1969,81,751,POINT (571844.88 6219556.5)
1972,136,751,POINT (576402.65 6233537.46)
1971,201,751,POINT (570921 6220391)
1993,301,751,POINT (573176.17 6229487.34)
1972,69,751,POINT (569078 6225550.41)
1959,47,751,POINT (569084.8 6223762.67)
1975,111,751,POINT (572516.45 6226507.69)
1972,69,751,POINT (569068.68 6225592.75)
1968,30,751,POINT (572621.9 6223507.57)
1968,110,751,POINT (572945.7 6219799.56)
1995,35,751,POINT (575342.11 6223616.25)
1959,36,751,POINT (574089.48 6225775.04)
1875,67,751,POINT (575288.8 6224017.87)
1962,40,751,POINT (568581.05 6224860.81)
1959,81,751,POINT (570591.96 6217633.66)
1971,162,751,POINT (572099.82 6225200.17)
1968,844,751,POINT (571270.06 6219060.74)
1961,160,751,POINT (573204.69 6221115.28)
1954,41,751,POINT (573295.56 6226017.5)
1969,300,751,POINT (572158.96 6225466.13)
1963,68,751,POINT (572576.54 6220364.31)
1960,35,751,POINT (574631.41 6226333.23)
1999,68,751,POINT (574036.98 6223848.91)
1968,28,751,POINT (574086.95 6227182.96)
1990,30,751,POINT (572924.83 6230032.99)
1997,120,751,POINT (573685.43 6223949.05)
1968,120,751,POINT (573022.19 6220243)
1970,180,751,POINT (571248.73 6218543.47)
1993,550,751,POINT (575097.54 6224009.07)
1986,204,751,POINT (567705.52 6223959.03)
1972,79,751,POINT (568377.05 6227482.08)
1959,250,751,POINT (574663.37 6222511.5)
1982,875,751,POINT (574409.05 6223794.22)
1992,28,751,POINT (574527.25 6224341.5)
1979,45,751,POINT (577763.16 6229496.51)
1992,33,751,POINT (568698.81 6219041)
1957,110,751,POINT (572963.94 6224079.99)
1972,79,751,POINT (568336.44 6227735.5)
1986,250,751,POINT (569751.19 6226691.13)
1957,32,751,POINT (573203.44 6226411.5)
1974,133,751,POINT (568483.26 6228038.22)
1970,111,751,POINT (571460.86 6219353.73)
1971,58,751,POINT (572275.2 6223662.93)
1971,61,751,POINT (574020.89 6219873.55)
1962,20,751,POINT (571924.14 6218848.92)
1953,34,751,POINT (572268.4 6220893.46)
1990,43,751,POINT (578676.92 6234136.47)
1972,111,751,POINT (576379.09 6233425.67)
1970,135,751,POINT (575020.31 6228697.5)
1975,68,751,POINT (572501.54 6226434.54)
1968,95,751,POINT (571302.25 6223096)
1972,146,751,POINT (570416.8 6224254.48)
1983,70,751,POINT (574614.45 6224352.69)
1989,262,751,POINT (570788.07 6219022.04)
1991,63,751,POINT (567045.03 6218986.09)
1965,33,751,POINT (569021.49 6224837.67)
