Name,Description,verified,z,longitude,latitude
202+203 flyttet hertil?,,N,61.72247662579274,10.18366360449088,56.11601570511196
1903,,N,62.70765425534295,10.18898086579434,56.11697996136958
1909,,N,49.1241042300154,10.17883384810536,56.12438997449321
1608,,N,40.01492328589657,10.18431247611412,56.12702987661137
1610,,N,25.0474532590882,10.16837027902287,56.12604408910396
1624,,N,21.20007905098491,10.16854557726949,56.12843667093334
1614 flyttet til Kolt,,N,15.09317004850108,10.16978288266297,56.12949066625841
124,,N,13.55541798903274,10.15362657868596,56.12419984059712
1623 flyttet 1980 til Runevej,,N,9.030794789547462,10.15846297332128,56.12676640322502
123+335,,N,18.54822084505747,10.15214499445209,56.12355288180131
1620,,N,19.59574882644279,10.15278006598273,56.12308442045782
1715 flyttet den 10/10-1986,,N,6.530217015543951,10.15957568851173,56.14583900038991
1714,,N,7.771580897490246,10.16282555939607,56.14599639369658
1712 nedlagt i 1996,,N,10.75117124821399,10.15420325062714,56.14856576517979
1710 flyttet,,N,7.991318131871638,10.16426165057285,56.15198613314332
1713,,N,25.95503135969894,10.14821125227499,56.15085951728955
1702,,N,37.56933443991187,10.14854078540635,56.15414364031686
2003,,N,17.30527990076999,10.11277390243312,56.15275478747117
2001,,N,16.03141187802016,10.09389682481275,56.15290100652013
1805,,N,81.38997612312801,10.15781992573872,56.17025389637426
443,,N,7.966969709406696,10.22990958176531,56.17636926747424
440+441+442,,N,10.0054912113661,10.23095898158765,56.17737831703462
499,,N,61.76384464004448,10.1935460640587,56.17276402957602
496,,N,79.52163052486145,10.17876738017847,56.17630233291023
470,,N,54.32308259094421,10.21519119927493,56.18186835771569
469,,N,52.72402625594296,10.21584264802993,56.18167218352601
468,,N,51.16967466302452,10.21634851318749,56.1814674728068
466,,N,48.57441692984729,10.21755491528935,56.18094997741606
395,,N,61.21290776110596,10.21102420757661,56.18274204759161
467,,N,49.53974589058192,10.21695192497225,56.18120370383397
494 fjernet 5/5-86,,N,70.77330155573594,10.20462789908393,56.18371546357974
258,,N,72.08976993314528,10.09184173264297,56.18987146873563
357,,N,73.1339121128823,10.09563632951179,56.19153340090028
1504 gl. placering,,N,3.582724547041038,10.23537340675562,56.18345115611955
1503,,N,30.93310909645669,10.22913506732627,56.182474179118
1504,,N,14.87746932713567,10.23372152724464,56.18380580131835
1502,,N,36.48524076716077,10.2259915853062,56.1852910025738
1501,,N,44.64830774383449,10.21886233495074,56.18666244243182
1506,,N,2.768361364295366,10.24664645078232,56.1905803203712
1515,,N,4.272503965718982,10.24870947959125,56.19466658421857
1509,,N,30.80956951094175,10.22929302218986,56.19177420188173
1500,,N,9.744066609743836,10.23459396792388,56.19516586001139
158+452+1512+1606,,N,43.85802775182887,10.22127035137696,56.19545425954558
1513,,N,26.60455940838115,10.22692837818066,56.19776832727472
1519,,N,3.053611401215775,10.26679001089313,56.20261043511798
132+135+139,,N,4.542249942209415,10.2698429729134,56.21087870576599
479,,N,41.6972531557674,10.20742592143996,56.11806861846357
475+477+478,,N,52.96633348790483,10.20700969573678,56.12171206378403
473,,N,53.34680298583438,10.20720106135719,56.12274340014665
472,,N,40.49307714941533,10.20832502669792,56.12509829705174
460+461+462+463,,N,45.1996809776788,10.19688070873925,56.12708059500496
290,,N,2.52543924452672,10.21425962167075,56.14704445946834
506,,N,3.217738062933889,10.21288936141495,56.14520345204935
231,,N,18.3206867624177,10.19294770733503,56.14436103743082
232+233,,N,17.84546766924056,10.1944627398696,56.14449733818045
502,,N,12.85929979979768,10.18181626518352,56.13922330542999
222+471 flyttet i 1995,,N,13.63710981915621,10.18970182184856,56.14694579163379
210,,N,17.8245168909468,10.20083004734314,56.15202703999528
209 flyttet til Kolt,,N,17.22549502839973,10.20119146750351,56.15238978703815
203+204 (203 er flyttet),,N,10.00263318657752,10.20236306414943,56.15486130267666
202+205 (202 er flyttet),,N,9.34314790727594,10.20165686565655,56.15460891866618
111+112,,N,9.981572484689195,10.18983468827582,56.15659497194955
481,,N,7.603608404085915,10.18347013284838,56.15481284611587
260+261,,N,6.14752749635352,10.18456026323632,56.15478608291264
259,,N,27.73535190182893,10.20588797086417,56.16578430524857
265,,N,16.44316834842723,10.20916422322577,56.1642930263278
489,,N,14.55399437528826,10.21663546971659,56.16600821542059
365,,N,42.07463884487927,10.21107610384026,56.16953659300624
487,,N,46.858126616009,10.19829523004543,56.16856646729369
120 + 121,,N,37.50797938683591,10.18044630634151,56.16157148480096
1911,,N,49.64117527204375,10.20724715154281,56.11418867678092
1902,,N,64.3054036173999,10.17839420484682,56.11488549647408
1607,,N,40.55699891141407,10.18638463624442,56.12647726059365
1720,,N,39.03951875570393,10.15530297767083,56.15748450346791
112A,,N,54.12821834954071,10.20053197812535,56.05372245592304
1614+209,,N,83.78914733398211,10.07488306594544,56.10908288819984
151,,N,68.46250284353138,10.14326232554537,56.08912459346877
1915,,N,76.59605015944814,10.14172043475398,56.1044070355166
1917,,N,61.34563736530168,10.20956563752375,56.11259431386709
1909,,N,51.81784659838232,10.20253751980817,56.11326375455318
222+471,,N,84.58024476880425,10.19551175896807,56.10616654775639
151+153 Flyttet til Tranbjerg,,N,6.827539766676181,10.20027335475413,56.15491253419925
501,,N,16.12569889543042,10.18636955200894,56.14660186725758
322,,N,16.41359815230268,10.18853109720631,56.13965374150683
1505,,N,3.982475863115635,10.23787943296055,56.18624350690871
131+206+214+351+1701,,N,88.55788225604363,10.19159759005822,56.1894563660231
410,,N,42.80259036581734,10.21582323489783,56.17324387140089
464+465,,N,52.57300235017253,10.20179655793188,56.12464424518872
Ã¸velse,,Y,54.11324143008279,10.17036711530951,56.19678974000443
1918,,Y,45.26718012196225,10.20927675638756,56.11645436936696
153,,Y,67.11312604804284,10.14470340993858,56.08924953743449
1916,,Y,74.0762910672937,10.13439891435631,56.0961171376854
1520,,Y,2.333757742751149,10.2709505288003,56.19909378674154
1510,,Y,3.300774541992549,10.24318262959257,56.19216676090748
2002,,Y,19.57321388057737,10.10108085435562,56.1539949613797
272,,Y,54.0348336397518,10.17115820564399,56.1966866991939
1617,,Y,28.84956798462867,10.16193239553846,56.12352435746955
301,,Y,72.38279677865668,10.13624681773273,56.17334260904758
1623,,Y,72.75278368094838,10.13672757190146,56.17327416105179
